shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime,utilization
1641600,11/10/2020,Tuesday,morning,1641600morning2,31,28790,522,1,21,0.9989251785590458
1641600,11/10/2020,Tuesday,morning,1641600morning1,0,28840,523,2,40,1.0
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon1,22,28790,530,1,12,0.9992367471551485
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon2,41,28780,529,2,21,0.9985784619651896
1699200,11/10/2020,Tuesday,evening,1699200evening2,22,28820,517,2,42,0.9992383326409084
1699200,11/10/2020,Tuesday,evening,1699200evening1,13,28840,524,1,53,0.9995502663806822
1728000,11/11/2020,Wednesday,morning,1728000morning1,43,28780,529,2,23,0.9985093253830687
1728000,11/11/2020,Wednesday,morning,1728000morning2,54,28810,530,1,64,0.998133296460177
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon2,65,28790,513,1,55,0.9977516430300933
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon1,24,28870,526,2,94,0.9991720712018767
